# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm D: Optimized 3D + fluence cap
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -72.912274 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 5.1458e-06 with no virtual Z,
#   matching the canonical file's 5.1458e-06.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.2274 MHz  (48.45 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.1458e-06
#   leakage 1 - tr(B^dag B)/2       = 6.8860e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.79e-03  3.69e-03  3.68e-03  3.76e-03  3.92e-03
#     eps=-0.02     7.48e-04  6.23e-04  5.86e-04  6.39e-04  7.81e-04
#     eps=+0.00     2.00e-04  5.80e-05  5.15e-06  4.20e-05  1.69e-04
#     eps=+0.02     8.26e-04  6.66e-04  5.97e-04  6.17e-04  7.28e-04
#     eps=+0.05     3.93e-03  3.74e-03  3.65e-03  3.64e-03  3.73e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armD_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,-5.949616625260e-03,-1.046889412926e-02,-2.974808312630e-01,-5.234447064631e-01,6.020707646890e-01,-2.087591204803e+00,-1.869127188159e-03,-3.288900088770e-03
1.500000000000e+00,-7.480434537981e-02,-6.779727794805e-02,-3.740217268991e+00,-3.389863897403e+00,5.047811650822e+00,-2.405292361232e+00,-2.350047819018e-02,-2.129914303350e-02
2.500000000000e+00,-2.082839239887e-01,-8.296547730195e-02,-1.041419619944e+01,-4.148273865098e+00,1.120998030954e+01,-2.762527829825e+00,-6.543432454639e-02,-2.606437339934e-02
3.500000000000e+00,-3.199392801589e-01,9.074759806528e-03,-1.599696400795e+01,4.537379903264e-01,1.600339762786e+01,3.113236249909e+00,-1.005118892142e-01,2.850919874128e-03
4.500000000000e+00,-2.987083088683e-01,1.393920106384e-01,-1.493541544341e+01,6.969600531922e+00,1.648156442944e+01,2.704979789456e+00,-9.384198287068e-02,4.379129165909e-02
5.500000000000e+00,-1.674871790367e-01,1.790567670838e-01,-8.374358951834e+00,8.952838354192e+00,1.225900495352e+01,2.322821255541e+00,-5.261764912321e-02,5.625234240461e-02
6.500000000000e+00,-6.915271670105e-02,1.043656251577e-01,-3.457635835052e+00,5.218281257883e+00,6.259848628698e+00,2.155978615046e+00,-2.172496667638e-02,3.278742812826e-02
7.500000000000e+00,-7.009661044383e-02,-1.617008043279e-02,-3.504830522192e+00,-8.085040216396e-01,3.596875830814e+00,-2.914875893973e+00,-2.202149964119e-02,-5.079980589562e-03
8.500000000000e+00,-1.322244553307e-01,-1.170885554430e-01,-6.611222766535e+00,-5.854427772152e+00,8.830775221241e+00,-2.416830495954e+00,-4.153953774918e-02,-3.678445455993e-02
9.500000000000e+00,-2.058574625770e-01,-1.873213737152e-01,-1.029287312885e+01,-9.366068685758e+00,1.391641045216e+01,-2.403303776948e+00,-6.467202921184e-02,-5.884874515239e-02
1.050000000000e+01,-2.458384469993e-01,-2.573706885132e-01,-1.229192234997e+01,-1.286853442566e+01,1.779580100254e+01,-2.333281108064e+00,-7.723242590630e-02,-8.085538642825e-02
1.150000000000e+01,-2.262291404796e-01,-3.337765838469e-01,-1.131145702398e+01,-1.668882919234e+01,2.016100393871e+01,-2.166457568193e+00,-7.107198057586e-02,-1.048590063754e-01
1.250000000000e+01,-1.643859819434e-01,-3.874863172197e-01,-8.219299097168e+00,-1.937431586098e+01,2.104568822182e+01,-1.972020417766e+00,-5.164337932264e-02,-1.217324167544e-01
1.350000000000e+01,-9.818105726020e-02,-3.955215583734e-01,-4.909052863010e+00,-1.977607791867e+01,2.037626211691e+01,-1.814110179350e+00,-3.084448882103e-02,-1.242567622122e-01
1.450000000000e+01,-3.779883095611e-02,-3.641909483600e-01,-1.889941547806e+00,-1.820954741800e+01,1.830736180400e+01,-1.674214541850e+00,-1.187485296460e-02,-1.144139607872e-01
1.550000000000e+01,3.247657085431e-02,-3.176959473948e-01,1.623828542715e+00,-1.588479736974e+01,1.596757986089e+01,-1.468924873059e+00,1.020281564097e-02,-9.980712544107e-02
