# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm E: Optimized 3D, exact-gate arm
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -86.822147 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 6.2102e-08 with no virtual Z,
#   matching the canonical file's 6.2102e-08.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 25.1958 MHz  (50.39 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 6.2102e-08
#   leakage 1 - tr(B^dag B)/2       = 2.9201e-08
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.33e-03  3.55e-03  3.78e-03  4.02e-03  4.27e-03
#     eps=-0.02     4.30e-04  5.08e-04  5.98e-04  7.00e-04  8.13e-04
#     eps=+0.00     2.87e-05  7.62e-06  6.21e-08  5.52e-06  2.35e-05
#     eps=+0.02     8.44e-04  7.22e-04  6.15e-04  5.21e-04  4.42e-04
#     eps=+0.05     4.32e-03  4.04e-03  3.78e-03  3.54e-03  3.31e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armE_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,5.306562045323e-03,-9.659872261348e-03,2.653281022662e-01,-4.829936130674e-01,5.510733454959e-01,-1.068459353280e+00,1.667105633741e-03,-3.034738373087e-03
1.500000000000e+00,9.199200085241e-03,-9.252296469116e-02,4.599600042620e-01,-4.626148234558e+00,4.648958022356e+00,-1.471695897110e+00,2.890013940670e-03,-2.906694661621e-02
2.500000000000e+00,-5.772506726465e-02,-2.155396917059e-01,-2.886253363233e+00,-1.077698458529e+01,1.115678516547e+01,-1.832471826335e+00,-1.813486472466e-02,-6.771379120202e-02
3.500000000000e+00,-1.815104754707e-01,-2.849878564323e-01,-9.075523773537e+00,-1.424939282161e+01,1.689409149817e+01,-2.137911484239e+00,-5.702319762885e-02,-8.953157561299e-02
4.500000000000e+00,-2.738539839132e-01,-2.624645066183e-01,-1.369269919566e+01,-1.312322533092e+01,1.896599732018e+01,-2.377427704781e+00,-8.603376640181e-02,-8.245565658203e-02
5.500000000000e+00,-2.720637548316e-01,-2.000790849885e-01,-1.360318774158e+01,-1.000395424943e+01,1.688566899348e+01,-2.507493102065e+00,-8.547134934870e-02,-6.285669835369e-02
6.500000000000e+00,-2.023889110679e-01,-1.717941741052e-01,-1.011944555339e+01,-8.589708705260e+00,1.327351776845e+01,-2.437777093351e+00,-6.358235161789e-02,-5.397073152984e-02
7.500000000000e+00,-1.472051840347e-01,-1.877236060350e-01,-7.360259201736e+00,-9.386180301751e+00,1.192785798766e+01,-2.235803304755e+00,-4.624587247338e-02,-5.897511016250e-02
8.500000000000e+00,-1.521131517442e-01,-1.792423080256e-01,-7.605657587210e+00,-8.962115401281e+00,1.175438385454e+01,-2.274503422676e+00,-4.778775600340e-02,-5.631063181058e-02
9.500000000000e+00,-1.799816786310e-01,-7.428439755685e-02,-8.999083931552e+00,-3.714219877843e+00,9.735447648058e+00,-2.750157880057e+00,-5.654291193680e-02,-2.333713176409e-02
1.050000000000e+01,-1.573719486412e-01,1.194365777906e-01,-7.868597432059e+00,5.971828889528e+00,9.878135746871e+00,2.492391586959e+00,-4.943985577322e-02,3.752210753568e-02
1.150000000000e+01,-5.489732130780e-02,3.169572660744e-01,-2.744866065390e+00,1.584786330372e+01,1.608381363391e+01,1.742295936864e+00,-1.724650213223e-02,9.957506186012e-02
1.250000000000e+01,7.746491237258e-02,4.326326309181e-01,3.873245618629e+00,2.163163154591e+01,2.197565732715e+01,1.393619158309e+00,2.433631996207e-02,1.359155494996e-01
1.350000000000e+01,1.599632035465e-01,4.502766779512e-01,7.998160177325e+00,2.251383389756e+01,2.389232686427e+01,1.229447365125e+00,5.025392251064e-02,1.414585903534e-01
1.450000000000e+01,1.623958828964e-01,4.269361559082e-01,8.119794144821e+00,2.134680779541e+01,2.283894174449e+01,1.207321587876e+00,5.101817126806e-02,1.341259490953e-01
1.550000000000e+01,1.266014591834e-01,4.274139372997e-01,6.330072959170e+00,2.137069686498e+01,2.228848375649e+01,1.282826285740e+00,3.977302141043e-02,1.342760485463e-01
